Index,Question
0,['What are the advantages and disadvantages of cookies?']
1,['What is access control and on what levels can it exist?']
2,['What is XSS and what does it allow an attacker to do?']
3,['What are the abilities provided by the API in client-side programming?']
4,"[""What is the technique that allows one to spoof the sender's address in e-mail communication?""]"
5,['What are some techniques used by viruses to evade signature-based virus scanners?']
6,"['TLS Protocol, question: What are the steps involved in establishing encrypted communication using the TLS protocol?']"
7,['What is the idea behind Rainbow Tables?']
8,['What is the procedure for the Proof of Work algorithm?']
9,['What is the workflow of an RSA Signature Scheme?']
10,['question: Under what conditions may a subject write to an object at a certain point in time?']
11,['What is the block reward for successful mining in Bitcoin and how does it change over time?']
12,"['TCP/IP Model\nSelected Topics in IT-Security\nProf. Dr. Frederik Armknecht - Chair of Computer Science IV \n6\nApplication Layer\nTransport Layer\nInternet Layer\nNetwork Access Layer\nApplication Layer\nTransport Layer\nInternet Layer\nNetwork Access Layer\nMedia for data transfer\nSource Destination, question: What are the layers of the TCP/IP model?']"
13,['What is the workflow of cookies in a client-server communication?']
14,['What are the concepts of ℓ-Diversity and -Closeness in data anonymization?']
15,['What is the graphical representation of Role-based Access Control (RBAC)?']
16,['What is the purpose of cache in a computer system?']
17,['What are the relevant languages for web applications?']
18,['What is the Extensible Authentication Protocol (EAP) and how does it support multiple authentication mechanisms?']
19,['What are the approaches used in enhanced guessing attacks?']
20,['What is the purpose of 2-Factor Authentication and provide examples of its implementation?']
21,['What is the attack strategy for sending out millions of emails in IT security?']
22,['What are the characteristics and algorithms involved in an anti-virus software?']
23,['What are the possible tools for gathering information about victims in the preparation stage of an attack?']
24,['What links the verification key to a Bitcoin address?']
25,['What are some examples of private networks?']
26,['What are the 2021 most common passwords and their respective number of uses?']
27,['What is an example of non-perturbative masking for generalization?']
28,['What is an example of a security solution for protecting sensitive information from eavesdropping attacks?']
29,['What is the purpose of the coin base transaction in the Proof of Work mining process?']
30,['What is the structure of Bitcoins and how does it build on a peer-to-peer network?']
31,['What is click fraud and who are the victims of it?']
32,['What is the goal of targeted advertising on Facebook?']
33,['What is tailgating in the context of IT security?']
34,['What is the workflow of the data holder and analyst in the online model?']
35,['What are the different methods of authentication based on?']
36,['What is a transaction in the context of Bitcoin?']
37,['What are the four critical functions that a VPN needs to provide?']
38,['What is the concept of phishing?']
39,['What is the usage of passwords in authentication?']
40,['What is the purpose of CRC (Cyclic Redundancy Check)?']
41,['What are the common password guidelines?']
42,['What are social engineering attacks and how do they rely on exploiting the human trust factor?']
43,['What is identification and how is it usually accompanied?']
44,['What are the threat and countermeasure for Session Hijacking?']
45,['What does access control/authorization refer to?']
46,['What are the conditions that allow a subject to read an object in the given formal definition?']
47,['What is the purpose of multitasking in an operating system?']
48,['What can be inferred about Bitcoin addresses of darknet vendors by exploiting metadata leaked by reviews and structural information of the market?']
49,['What is the purpose of Counter Mode in encryption?']
50,['What are the main goals and advantages of Bitcoin?']
51,['What are the security requirements for a hash function?']
52,['What is a Distributed Denial of Service (DDOS) attack?']
53,['What should be explained in clear and plain language regarding data collection and processing?']
54,['What was the problem with the heartbeat extension that led to the Heartbleed bug?']
55,"['Shared Key Authentication - Workflow\nSelected Topics in IT-Security\nProf. Dr. Frederik Armknecht - Chair of Computer Science IV \n5\nAuthentication Request\nChallenge\n• Choose Challenge\n(IV,Ciphertext)\n• Choose IV\n• Create keystream\nfrom key and IV\n• Encrypt challenge\nby XORing with \nkeystream\n• Compute keystream from \nkey and IV\n• Decrypt ciphertext\n• Check if decryption equals \nchallenge\nAccept/Reject\nDevice Access Point, question: What are the steps involved in the shared key authentication workflow?']"
56,['question: What is an example of a security solution for ensuring availability of data/services to authorized users?']
57,['What is the process of adding blocks to the blockchain and how is it executed by miners?']
58,"['Common Cryptographic Scenario\nSelected Topics in IT-Security\nProf. Dr. Frederik Armknecht - Chair of Computer Science IV \n3\nAlice Bob Unprotected Communication Channel\nEve\nEavesdropping\n(belauschen)\n\nQuestion: What is the common cryptographic scenario involving Alice, Bob, and Eve?']"
59,['What is an example of perturbative masking and how is noise added to the data?']
60,['What are some common approaches/protocols used in IT-Security?']
61,['What are the components of the simple model in IT-Security?']
62,['What are the protocols that use the Advanced Encryption Standard (AES)?']
63,['What are the components of TKIP?']
64,['question: What is the relationship between HTTP and TLS in terms of providing a secure Internet connection?']
65,['What is the role-based access model given by?']
66,['What are the advantages and disadvantages of physical payment systems?']
67,"['What are some examples of utilities that can be used to find the ID of a ""hidden"" network?']"
68,"['HTTP (Hypertext Transfer Protocol) is a ""normal"" protocol for enabling Internet connection, but it provides no security of the data. Who can listen and change the data if they have access to it?']"
69,['What are the different types of viruses based on the objects they infect?']
70,['What is the impact of the Meltdown attack on the cache?']
71,['question: Why is it necessary to check the authenticity of a transaction in the Bitcoin network?']
72,['What is the workflow of the public key encryption scheme?']
73,['What is the considered program for replacing a password?']
74,['What is the risk associated with the CSRF attack described in the given content?']
75,['What are the recommended actions if you are a victim of data encryption?']
76,['What are the advantages and disadvantages of Mandatory Access Control (MAC)?']
77,['What is the purpose of the Authentication Header (AH) Protocol in transport mode?']
78,['What is the challenge in defining anonymity and can it cover aspects like quasi-identifier and data taken from different sources?']
79,['What are the stages of an attack according to the given content?']
80,['What are examples of critical data that should be protected against attacks?']
81,['What is the related example of the Heartbleed Bug?']
82,"['Selected Topics in IT-Security\nProf. Dr. Frederik Armknecht - Chair of Computer Science IV \n10\nଵ, ଶ, ଷ\n1\nଵ\n2\nଶ\n3\nଷ\n\nQuestion: How many layers are used to encrypt each message in the given content?']"
83,"['Key Agreement Protocol, question: What is the content of the flashcard?']"
84,['What is the formal definition of an access matrix?']
