,Question 1,Question 2,Question 3
0,Which views of a data cube can be used for different organizational roles? ,,
1,Explain Structural Properties.,,
2,What are the four component that form authentic leadership (AL)?,,
3,Explain empirical risk minimization.,,
4,What is the Framing Effect?,What is the Anchoring Effect?,
5,What is the terminology to represent preferences?,,
6,Which conditions does a probability Distribution satisfy?,What is a probability distribution?,
7,How does WEP aim to provide integrity?,,
8,What is pretexting?,,
9,What are the three main Challenges of the Bitcoin Network?,,
10,What is the attack strategy of attackers?,,
11,What are generic component models?,,
12,What is the collection frequency?,,
13,How is a Virus defined?,,
14,What is the cosine similarity?,,
15,What are the different measures to calculate importance of nodes?,,
16,When is the merge of posting lists performed fastest? ,,
17,Why does transactive memory not work in large groups?,How to solve this problem?,
18,What are examples for Physical Payment Systems? What are advantages and disadvantages?,,
19,Explain supervised and unsupervised machine learning,Which two types of machine learning exist?,
20,How is a Worm defined?,,
21,How did Garud & Kumaraswamy implement a qualitative incentive system?,,
22,What is the Dirichlet distribution?,Explain the Dirichlet distribution,
23,How is Edge-Pair Coverage and Complete Path Coverage defined?,,
24,"In conclusion, the selection of a design approach should be based on what?",,
25,How is the complete cost function to find an allocation schema defined?,Why is the total cost function overly simplified?,
26,What are Race Condition Attacks?,,
27,What does a structured text representation look like?,,
28,What Intra-Diagram Consistency Rules exist?,,
29,Describe the multinomial distribution.,,
30,What are applications of Sum-Product Networks?,,
31,What are the five problems in knowledge storage and retrieval within organizations?,,
32,How can words be counted with MapReduce?,,
33,How does a simple cost model for allocation look like?,,
34,Into which groups are the knowledge goals of KM cycle divided?,,
35,What to look for in networks to know if small world property is present?,,
36,How is range partitioning used to distribute data?,,
37,What are constraints among characteristics and how are they handled?,,
38,What is the relation between entropy and security?,,
39,What does a attacker model specify?,,
40,When do weights remain bounded?,Why data scale matters?,
41,What does data placement mean?,What does fragmentation mean?,What does allocation mean?
42,What is the quorum consensus?,How to calculate the quorum consensus?,
43,Which database numbers are important to know?,,
44,Explain the 2 different interpretations of probability.,,
45,How are input and output defined for parallel joins?,,
46,How do motivational and individual factors influence the volume of contributions?,,
47,How does information spread with the rumor spreading protocol and pull communication?,,
48,What are drawbacks of Access Matrixes?,,
49,How to compute the robustness of protocols for replication transparency?,,
50,Describe second order Taylor polynomial (Multivariate case),,
51,Explain the example for the binary independence model with available relevance judgements,,
52,What advantages does RBAC have (in contrast to a tradition Access Matrix)?,,
53,"How does setting a specific hard goal differ from a ""do best"" goal in relation to the performance?",,
54,Do conveyance and convergence require media synchronicity?,,
55,Give the intuition behind the EM algorithm.,,
56,What is the basic concept of the skills model and how does it differ from other leadership models? ,,
57,What is the intuition of Differential Privacy?,,
58,Describe multivariate gaussian distribution,,
59,How are matrix decompositions approximated?,,
60,What are the key findings of Lebovitz et al. (2022) about how ML agents are evaluated?,,
61,What is the role of a component realization?,,
62,Which special case is covered by the Markov Decision Process?,,
63,How are the appropriation factors defined and do they require media synchronicity?,,
64,"In conclusion, which design approaches should you use for which contingency factors?",,
65,How to filter data with an FilteredRDD?,,
66,Why is AI useful for indexing?,,
67,What is the idea of latent and semantic information retrieval?,,
68,What is the *-Property rule?,,
69,By which additional leadership behaviors did House extent the path-goal theory (1966)?,,
70,With regard to which aspects does hadoop offer flexibility?,,
71,Which transformations exist in spark?,,
72,What does a Hbase table look like?,,
73,What practical challenge is faced using an Access Matrix?,,
74,Can you give an example for the binary independence model with relevance judgements?,,
75,Which are relevant factors for explaining the leadership gap?,,
76,"What is ""Ba"" in context of the knowledge spiral?",,
77,How do well-formed operation specifications look like?,,
78,Which research questions did Kane & Alavi consider?,,
79,List and briefly describe some other kernels.,,
80,Why is the document frequency used? ,What is the idea behind the global document frequency? ,
81,How can social engineering attacks happen when companies collect user data?,,
82,What does the second phase of attacking Shared Key Authentication work?,,
83,How is the KL divergence loss defined?,,
84,How can bitcoin network check Authenticity of Transaction?,,
85,How is a botnet coordinated?,,
86,What happens if an agent does not follow the rules of probability?,Why must an agent follow the rules of probability?,
87,"How is ""Ba"" related to the knowledge spiral?",,
88,How is the quality of documents determined?,,
89,Define probability using the Frequentist interpretation.,How are probabilities interpreted in the frequentist interpretation?,
90,Which internalization levels exist and how are they described according to Wiig (1933)?,,
91,What are stragglers?,Why are stragglers a problem?,
92,What security is achieved with VPN?,,
93,How is the difficulty of the goals related to performance?,,
94,What is an examples of a CSRF Attack?,,
95,Why are there so many different types of NoSQL databases?,,
96,What is knowledge management from an organizational learning perspective according to Sturm et al. (2022)?,What is the role of information technology according to Sturm et al. (2022)?,What changes with AI according to Sturm et al. (2022)?
97,What are the key differences between leadership and management?,,
98,How can multidimensional data be stored?,How can different views of the data be analyzed?,
99,How does the reduce-side join work?,Explain the reduce-side join,
100,How does the partitioning of the input domain into blocks work?,,
101,Explain LearnSPN,,
102,What are the three main methods used for Authentication and what are examples and problems of each method?,,
103,Describe newton's method (Multivariate case),,
104,How to recover when a coordinator has crashed?,,
105,What does the workflow of RC4 look like?,,
106,"What is the internal structure of the formula of P(b|j,m)?",,
107,What does the feature map of polynomial kernel contain?,,
108,"How are precision, recall and f-measure computed in information retrieval systems?",,
109,Which key findings did Sturm discover by including ML agents?,,
110,How is the Euclidean distance defined?,,
111,What is a custom partitioner?,What is a custom key comparator?,
112,What is utility theory used for?,,
113,What are the four phases of knowledge transfer and what are their key tasks? ,,
114,Define katz centrality.,,
115,What goal has stage3: exploitation and what are possible tools?,,
116,Explain logistic regression.,,
117,How does type 1 of ransomware: Encryption of Data work?,,
118,Describe the beta binomial model.,,
119,What is the Bayes rule?,,
120,Which goal do the theories of organizational learning pursue? ,Which approach is used to achieve this goal and how can organizational learning alter the knowledge base?,
121,Explain empirical risk minimisation.,,
122,How does a SQL statement that required decomposition look like?,,
123,How to define “Network of Practice”?,What is the definition of “Electronic Network of Practice”?,How are “Electronic Network of Practice” and Communities of Practice related?
124,What are support vector machines?,,
125,How does a chain of trust work?,,
126,describe leskovec and horvitz study.,,
127,Which method did Lebovitz et al. (2022) use?,,
128,Define average degree.,,
129,What are strengths and criticisms of the AL approach?,,
130,What does encapsulation describe?,,
131,Which motivating and individual factors are being examined with regard to their influence on knowledge contribution by Wasko & Faraj?,,
132,How are aggregate functions in DBMS defined?,What are the three parts of an aggregate function?,
133,How do Passphrases work and what is the advantage?,,
134,What are the drawbacks of automated thesaurus generation?,,
135,How can knowledge be created (KM cycle)?,,
136,What is the principle of DOM-based XSS?,,
137,Describe the RDD workflow,How does the RDD workflow look like?,
138,What are countermeasures against Unauthorized Access?,,
139,What are four fundamental subspaces?,How to obtain bases for subspaces from SVD?,
140,Why is fragmentation used?,,
141,What are gaussian mixture models?,How can GMM be viewed as soft clustering variant of K means,
142,How would an offline attack on stored hashed values of passwords on a server look like?,,
143,How can Open System Authentication be attacked?,,
144,What is a data warehouse (DW)?,What is business intelligence (BI)?,
145,Why are parallel database management systems used?,,
146,What are known knowledge management problems and what knowledge management processes handle them?,,
147,How does SVD allow visualization of data?,,
148,Explain the list-wise learning to rank approach,What are the issues with the list-wise learning to rank approach?,
149,How is the attacker model and what are possible attacks on hashed passwords on a server?,,
150,What is the probability that the generated model will have m links?,,
151,What are the four information retrieval paradigms?,,
152,How is the ambiguity in ACC handled?,,
153,What is the idea of Smoothing in Sequential Processes?,,
154,Which main questions are investigated by Sturm et al. (2022)?,,
155,How are nodes hashed onto the ring?,,
156,What technology does Kane & Alavi believe should be used for exploitation or exploration?,,
157,Describe the methodology of gradient descent.,,
158,How are the size of the bloom filter and the false positive rate related?,,
159,What is the goal of Privilege Escalation Attacks and how do they work?,,
160,How does information spread with the rumor spreading protocol and push communication?,,
161,Define page rank centrality in detail.,,
162,How is relevance usually expressed in information retrieval models?,,
163,What is an example for an SQL Injection Attack?,,
164,What is the definition of the factors Idealized Influence and Inspirational Motivation of the TL Model?,,
165,How do the steps in a MapReduce program work?,,
166,How is replication transparency defined?,What does it mean that a database is mutually consistent?,
167,How does boolean retrieval work?,How is boolean retrieval defined?,
168,What is Shared Key Authentication?,,
169,Define adjacency matrix.,,
170,Differentiate in inference and decision.,,
171,What are strengths and criticisms of the path-goal theory?,How can the path-goal theory be applied in practice?,
172,Define acyclic network.,,
173,Describe K means clustering?,,
174,What are countermeasures to prevent a infection with Malware?,,
175,What are famous examples for GDPR fines?,,
176,What are the advantages of a “common language”?,,
177,How did transformational leadership develop and what distinction of leadership types did Burns (1978) make?,,
178,What are the research questions used by Becerra-Fernandez & Sabherwal (2001)?,,
179,Why is the size of positional indices problematic?,,
180,How does RSA work?,,
181,What is DNS and how is the workflow?,,
